ItemCode,Brand,Care,co2,water,land,MainImage
P459.082,66d5aed1ff025cb3bad4ea10,,2.8,,,P459.082__B_1__ff3a5a47106c417aa1900ebcb0a5c4ec.jpg
P459.100,66964a11205e51747f3e62f4,,1.75,,,P459.100__B_1__57039d633ed5439f9e740271e4689078.jpg
P459.102,66964a11205e51747f3e62f4,,1.75,,,P459.102__B_1__fc4fff2c44174dc79ab65bd7a5f57f03.jpg
P459.121,66d5aed1ff025cb3bad4ea10,,5.51,,,P459.121__B_1__c2c8ea0c73824d20960092142049e4f9.jpg
P459.122,66d5aed1ff025cb3bad4ea10,,5.51,,,P459.122__B_1__cc4c1b73577a455a92ae69999093566d.jpg
P459.125,66d5aed1ff025cb3bad4ea10,,5.51,,,P459.125__B_1__300454cc59c349a5813854e2fb4adf86.jpg
P705.231,66d594e2ff025cb3bad44c8e,,,,,
P705.241,66d594e2ff025cb3bad44c8e,,6.86,0,0,
P705.242,66d594e2ff025cb3bad44c8e,,6.86,0,0,
P705.245,66d594e2ff025cb3bad44c8e,,6.86,0,0,
P705.251,66d594e2ff025cb3bad44c8e,,8.2,0,0,
P705.271,66d594e2ff025cb3bad44c8e,,9.9,0,0,
P705.291,66d594e2ff025cb3bad44c8e,,6.68,,,P705.291__B_1__80131c99e11742cd8e3ef9b638c29c54.jpg
P705.292,66d594e2ff025cb3bad44c8e,,6.68,,,P705.292__B_1.jpg
P705.294,66d594e2ff025cb3bad44c8e,,6.68,,,P705.294__B_1.jpg
P705.295,66d594e2ff025cb3bad44c8e,,6.68,,,P705.295__B_1.jpg
P705.297,66d594e2ff025cb3bad44c8e,,6.68,,,P705.297__B_1.jpg
P705.299,66d594e2ff025cb3bad44c8e,,6.68,,,P705.299__B_1.jpg
P705.701,66d594e2ff025cb3bad44c8e,,6.28,,,P705.701__B_1__e939b2cdce154a8ca241c021a12030f0.jpg
P705.702,66d594e2ff025cb3bad44c8e,,6.28,,,P705.702__B_1__611c0fb19fb04c3a959d95c56e553db6.jpg
P705.704,66d594e2ff025cb3bad44c8e,,6.28,,,P705.704__B_1__6782860284cf49ecadb4e88656a8d14b.jpg
P705.705,66d594e2ff025cb3bad44c8e,,6.28,,,P705.705__B_1__4b041bb68f4740bfb4e2e1df4096d67f.jpg
P705.707,66d594e2ff025cb3bad44c8e,,6.28,,,P705.707__B_1__791000d9e0b341f7acd064e8ccd3ef8a.jpg
P705.709,66d594e2ff025cb3bad44c8e,,6.28,,,P705.709__B_1__3fd8714ae4f9437a9970aeab1ba03b0d.jpg
P705.711,66d594e2ff025cb3bad44c8e,,7.57,,,P705.711__B_1__1e160e8906c84184a19c8088073600e3.jpg
P705.712,66d594e2ff025cb3bad44c8e,,7.57,,,P705.712__B_1__602629bd511c452faa29650e93b71e8f.jpg
